0	0
100	100
200	200
300	300
400	400
500	500
600	600
700	700
800	800
900	900
1000	1000
1100	1100
1200	1200
1300	1300
1400	1400
1500	1500
1600	563
1700	1700
1800	1800
1900	1900
2000	2000
2100	2100
2200	2200
2300	2300
2400	2400
2500	2500
2600	2600
2700	2342
2800	2800
2900	2900
3000	2130
3100	2159
3200	2814
3300	3300
3400	3400
3500	3500
3600	3600
3700	3562
3800	3504
3900	3900
4000	4000
4100	4100
4200	4200
4300	4300
4400	4400
4500	4500
4600	128
4700	4700
4800	4800
4900	3314
5000	5000
5100	5100
5200	5200
5300	5300
5400	5400
5500	5500
5600	5600
5700	5700
5800	5800
5900	5900
6000	6000
6100	6100
6200	6200
6300	2195
6400	6400
6500	1171
6600	6600
6700	6700
6800	496
6900	6900
7000	4646
7100	7100
7200	7200
7300	7167
7400	7400
7500	5432
7600	7600
7700	2847
7800	743
7900	818
8000	8000
8100	8100
8200	8200
8300	3583
8400	8400
8500	2579
8600	8600
8700	8700
8800	8800
8900	8900
9000	3297
9100	9100
9200	9200
9300	9300
9400	9400
9500	9500
9600	9600
9700	9700
9800	4376
9900	9877
10000	10000
10100	10100
10200	10200
10300	10300
10400	5653
10500	2426
10600	328
10700	10700
10800	3654
10900	7386
11000	1486
11100	11100
11200	11200
11300	1794
11400	11400
11500	11040
11600	11600
11700	11700
11800	11800
11900	7532
12000	8765
12100	3463
12200	1483
12300	12300
12400	12006
12500	12054
12600	12600
12700	9158
12800	12800
12900	5602
13000	1218
13100	7471
13200	13200
13300	2638
13400	13400
13500	2670
13600	13600
13700	4346
13800	13800
13900	6669
14000	14000
14100	14100
14200	14200
14300	4179
14400	14400
14500	6634
14600	14600
14700	3801
14800	14800
14900	14900
15000	10861
15100	15100
15200	15200
15300	15300
15400	15400
15500	11782
15600	8745
15700	10120
15800	10866
15900	15900
16000	16000
16100	776
16200	3574
16300	16300
16400	16400
16500	3291
16600	16600
16700	16700
16800	16800
16900	16900
17000	17000
17100	17100
17200	12855
17300	4959
17400	13550
17500	14903
17600	17600
17700	17700
17800	717
17900	7782
18000	6710
18100	10609
18200	7737
18300	18300
18400	18400
18500	6500
18600	18600
18700	10950
18800	16161
18900	18900
19000	6603
19100	17791
19200	3393
19300	10120
19400	19400
19500	19500
19600	178
19700	19700
19800	4717
19900	8724
20000	6746
20100	1728
20200	4708
20300	20300
20400	20400
20500	120
20600	5101
20700	11896
20800	20800
20900	20900
21000	20748
21100	6683
21200	3698
21300	2539
21400	21400
21500	11665
21600	21600
21700	12813
21800	473
21900	2523
22000	6159
22100	22100
22200	1090
22300	22300
22400	5252
22500	22500
22600	17542
22700	20254
22800	4622
22900	10087
23000	10588
23100	6808
23200	20844
23300	23300
23400	20851
23500	18684
23600	6244
23700	23700
23800	2191
23900	10108
24000	24000
24100	24100
24200	24200
24300	18140
24400	24400
24500	8521
24600	2222
24700	1353
24800	4174
24900	6664
25000	23280
25100	8850
25200	25200
25300	25300
25400	17470
25500	14836
25600	25600
25700	24412
25800	7699
25900	25900
26000	1412
26100	24633
26200	668
26300	7909
26400	26400
26500	26500
26600	1975
26700	18930
26800	3460
26900	5692
27000	10630
27100	27100
27200	5050
27300	2399
27400	27400
27500	4855
27600	2386
27700	5376
27800	27800
27900	4542
28000	1991
28100	5429
28200	10020
28300	15889
28400	25815
28500	5534
28600	247
28700	28700
28800	28800
28900	11529
29000	10318
29100	29100
29200	154
29300	29300
29400	17711
29500	9088
29600	21698
29700	10046
29800	29800
29900	17971
30000	3065
30100	6050
30200	30200
30300	30300
30400	1345
30500	20594
30600	11004
30700	13409
30800	20022
30900	2068
31000	7093
31100	17365
31200	4200
31300	25172
31400	31400
31500	31500
31600	4178
31700	15800
31800	4933
31900	31900
32000	7003
32100	12505
32200	25060
32300	23427
32400	19648
32500	3526
32600	10810
32700	27929
32800	24357
32900	2880
33000	21374
33100	492
33200	6737
33300	1489
33400	10044
33500	28208
33600	5957
33700	3697
33800	33800
33900	7304
34000	10808
34100	6673
34200	19390
34300	34300
34400	15087
34500	4035
34600	30470
34700	13117
34800	3093
34900	34900
35000	35000
35100	31567
35200	6986
35300	8944
35400	7819
35500	15473
35600	15014
35700	35700
35800	924
35900	35900
36000	29011
36100	21528
36200	463
36300	2191
36400	16846
36500	3346
36600	36600
36700	19197
36800	28635
36900	17848
37000	17994
37100	2260
37200	37200
37300	4261
37400	3683
37500	4413
37600	37600
37700	4142
37800	21228
37900	20310
38000	1377
38100	11585
38200	38200
38300	30585
38400	21025
38500	3638
38600	5367
38700	6502
38800	28969
38900	15771
39000	11337
39100	841
39200	7093
39300	39300
39400	6944
39500	1317
39600	5000
39700	16161
39800	25682
39900	339
40000	40000
40100	4372
40200	40200
40300	31891
40400	10972
40500	6482
40600	1170
40700	26321
40800	16359
40900	21985
41000	14932
41100	19684
41200	3555
41300	3869
41400	577
